date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:24	7303/7303	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1c87%22	https://cdn.brainmeasures.com/Images/Home/icon-100.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-100.png	(from https://www.brainmeasures.com/)
22:21:27	66965/66965	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:51:24%20GMT	https://www.brainmeasures.com/VideoCourses.aspx	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/VideoCourses.html	(from https://www.brainmeasures.com/)
22:21:31	55079/55079	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:51:29%20GMT	https://www.brainmeasures.com/Courses.aspx	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/Courses.html	(from https://www.brainmeasures.com/)
22:21:32	8149/8149	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1fd5%22	https://cdn.brainmeasures.com/Images/Home/icon-200.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-200.png	(from https://www.brainmeasures.com/)
22:21:42	9252/9252	---M--	200	added ('OK')	image/png	etag:%22641cb02a-2424%22	https://cdn.brainmeasures.com/Images/Home/icon-300.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-300.png	(from https://www.brainmeasures.com/)
22:21:49	126373/126373	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:51:37%20GMT	https://www.brainmeasures.com/Tests.aspx	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/Tests.html	(from https://www.brainmeasures.com/)
22:21:58	10679/10679	---M--	200	added ('OK')	image/png	etag:%22641cb02a-29b7%22	https://cdn.brainmeasures.com/Images/Home/icon-800.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-800.png	(from https://www.brainmeasures.com/)
22:22:32	24098/24098	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:52:18%20GMT	https://www.brainmeasures.com/psychometric	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/psychometric.html	(from https://www.brainmeasures.com/)
22:22:43	10098/10098	---M--	200	added ('OK')	image/png	etag:%22641cb02a-2772%22	https://cdn.brainmeasures.com/Images/Home/icon-1200.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-1200.png	(from https://www.brainmeasures.com/)
22:23:09	7923/7923	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1ef3%22	https://cdn.brainmeasures.com/Images/Home/icon-600.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-600.png	(from https://www.brainmeasures.com/)
