date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:54	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2240ee1a0224d31:0%22	https://www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.brainmeasures.com/dist/bootstrap/css/bootstrap.css)
23:05:55	18028/18028	---M--	200	added ('OK')	application/font-woff2	etag:%22b4ba63a9224d31:0%22	https://www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from https://www.brainmeasures.com/dist/bootstrap/css/bootstrap.css)
23:05:57	23424/23424	---M--	200	added ('OK')	font/x-woff	etag:%2233b443a8224d31:0%22	https://www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.woff	(from https://www.brainmeasures.com/dist/bootstrap/css/bootstrap.css)
23:05:59	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%22458998a5224d31:0%22	https://www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from https://www.brainmeasures.com/dist/bootstrap/css/bootstrap.css)
23:06:02	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%22ef5cc8a3224d31:0%22	https://www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/dist/bootstrap/fonts/glyphicons-halflings-regular.svg	(from https://www.brainmeasures.com/dist/bootstrap/css/bootstrap.css)
23:06:03	176/176	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Apr%202023%2017:36:03%20GMT	https://www.brainmeasures.com/dist/images/ie-spacer.gif	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/dist/images/ie-spacer.18.delayed	(from https://www.brainmeasures.com/dist/css/jquery.gritter.css)
23:06:04	3601/3601	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Apr%202023%2017:36:05%20GMT	https://www.brainmeasures.com/home/PageNotFound?aspxerrorpath=/dist/images/ie-spacer.gif	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/home/PageNotFound.19d8b0.delayed	(from https://www.brainmeasures.com/dist/css/jquery.gritter.css)
23:06:06	174/174	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Apr%202023%2017:36:06%20GMT	https://www.brainmeasures.com/dist/images/gritter.png	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/dist/images/gritter.1a.delayed	(from https://www.brainmeasures.com/dist/css/jquery.gritter.css)
23:06:07	3601/3601	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Apr%202023%2017:36:07%20GMT	https://www.brainmeasures.com/home/PageNotFound?aspxerrorpath=/dist/images/gritter.png	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/home/PageNotFound.1b5208.delayed	(from https://www.brainmeasures.com/dist/css/jquery.gritter.css)
23:06:08	180/180	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Apr%202023%2017:36:09%20GMT	https://www.brainmeasures.com/dist/images/gritter-light.png	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/dist/images/gritter-light.1c.delayed	(from https://www.brainmeasures.com/dist/css/jquery.gritter.css)
23:06:09	3601/3601	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Apr%202023%2017:36:10%20GMT	https://www.brainmeasures.com/home/PageNotFound?aspxerrorpath=/dist/images/gritter-light.png	C:/Users/HP/Desktop/kkkzzzz3/www.brainmeasures.com/home/PageNotFound.1d241d.delayed	(from https://www.brainmeasures.com/dist/css/jquery.gritter.css)
